country,immigrants,percPop,emigrants
Kyrgyzstan,199011,3.05,774377
Slovakia,197161,3.61,419651
Turkmenistan,194920,3.23,242554
Malawi,191362,1,311052
Cyprus,190366,15.77,173210
Armenia,190349,6.42,958190
Zambia,187955,1.02,200700
Bulgaria,184363,2.65,1683626
Mauritania,182286,3.92,130226
Paraguay,169567,2.38,896484
Bolivia,164121,1.41,927244
Lithuania,145184,5.33,658057
Afghanistan,144098,0.37,5853838
Reunion,131769,14.72,3064
North Macedonia,131311,6.3,693896
Guinea,121437,0.92,550790
Djibouti,119738,12.12,18365
French Guiana,119249,39.93,4595
Malta,114760,25.99,102793
Mayotte,111540,40.88,6767
Botswana,110268,4.69,63561
Namibia,109391,4.31,47770
Uruguay,108267,3.12,367060
Moldova,104438,2.59,1159443
Morocco,102358,0.28,3262222
Guadeloupe,90206,22.54,12542
Central African Republic,88546,1.83,816668
Liberia,87947,1.74,233564
Guatemala,84311,0.47,1368431
Guam,80472,47.68,2213
Georgia,79368,1.99,861077
Cambodia,79341,0.47,1104819
Trinidad and Tobago,78849,5.63,330519
Vietnam,76767,0.08,3392025
Myanmar,76446,0.14,3711751
New Caledonia,73141,26.89,5839
Montenegro,70999,11.3,132965
Maldives,70079,12.96,3715
Martinique,68624,18.29,12964
Iceland,65424,19.17,43251
Bahamas,63583,16.17,53793
Belize,62043,15.6,52756
Tunisia,60145,0.51,902268
Somalia,58590,0.37,2034221
Curacao,57210,36.91,7611
United States Virgin Islands,56753,53.39,3908
Sierra Leone,53746,0.67,152486
Bhutan,53612,6.95,51998
Aruba,53593,50.19,21456
North Korea,49549,0.19,110377
Albania,48810,1.7,1250451
Laos,48731,0.67,1296051
Suriname,47801,8.15,273209
Andorra,45574,58.98,11132
Isle of Man,43040,50.62,12032
El Salvador,42767,0.66,1599058
Nicaragua,42167,0.64,718154
Sri Lanka,40254,0.19,1960025
Honduras,39195,0.4,985077
Bosnia and Herzegovina,36042,1.1,1687639
Madagascar,35563,0.13,193526
Barbados,34869,12.13,99611
