Year,Temporary visa holders(b) ('000),Australian residents(b)(c) ('000),NZ citizens(d) ('000),Other ('000)
2010-11,202.57,159.17,53.61,16.44
2011-12,225.59,163.76,61.07,16.91
2012-13,244.06,163.85,54.12,20.06
2013-14,253.16,166.53,37.77,7.21
2014-15,262.93,163.17,31.75,7.4
2015-16,281.76,166.39,33.7,7.43
2016-17,314.81,185.48,32.33,7.53
2017-18,327.3,165.07,30.38,4.77
2018-19,350.67,164.29,30.54,4.9
2019-20,313.66,167.3,22.22,3.67
2020-21,28.11,99.58,17,1.12
